restaurant_id,time_start,time_end
1,06:30:00,16:15:00
3,09:30:00,21:00:00
4,11:00:00,22:00:00
5,08:00:00,21:00:00
11,11:00:00,22:00:00
15,10:00:00,21:00:00
16,09:00:00,18:00:00
17,11:00:00,19:00:00
25,08:00:00,20:00:00
30,09:00:00,22:00:00
31,11:00:00,23:00:00
32,10:00:00,22:15:00
34,07:00:00,17:00:00
39,08:00:00,19:00:00
41,08:00:00,16:00:00
43,09:30:00,21:00:00
46,06:30:00,19:00:00
49,10:00:00,23:00:00
50,07:00:00,22:00:00
51,07:00:00,18:00:00
53,09:00:00,19:00:00
54,07:00:00,17:30:00
58,11:00:00,22:00:00
60,10:30:00,13:30:00
61,09:00:00,17:00:00
63,11:00:00,20:00:00
65,10:00:00,22:00:00
67,10:00:00,21:00:00
68,08:30:00,14:00:00
71,10:00:00,22:00:00
72,10:30:00,20:00:00
75,09:30:00,18:00:00
76,10:00:00,22:00:00
79,05:00:00,22:00:00
84,09:00:00,18:00:00
85,06:30:00,21:30:00
86,10:00:00,17:00:00
90,10:30:00,21:00:00
92,06:00:00,19:00:00
99,08:30:00,18:00:00
100,05:30:00,23:30:00
101,10:00:00,19:00:00
102,11:00:00,17:00:00
104,10:00:00,19:00:00
106,10:00:00,22:00:00
108,04:00:00,23:00:00
116,09:00:00,20:00:00
119,05:00:00,17:00:00
123,11:00:00,21:00:00
132,07:00:00,17:00:00
134,10:00:00,21:00:00
135,09:00:00,18:00:00
136,08:00:00,18:00:00
141,07:00:00,19:30:00
144,10:00:00,22:00:00
145,08:30:00,16:30:00
147,10:00:00,18:00:00
148,09:00:00,17:00:00
149,08:30:00,17:30:00
150,09:00:00,20:00:00
156,10:00:00,17:00:00
161,10:00:00,19:00:00
162,08:00:00,18:00:00
164,09:00:00,16:00:00
165,10:00:00,18:00:00
166,08:00:00,18:00:00
168,11:00:00,16:30:00
169,08:00:00,20:00:00
172,10:00:00,18:00:00
177,11:00:00,23:30:00
181,07:00:00,22:00:00
183,05:00:00,20:00:00
184,11:00:00,22:00:00
185,05:00:00,21:00:00
186,04:00:00,21:00:00
187,08:00:00,17:30:00
188,11:00:00,21:00:00
190,06:30:00,18:30:00
194,09:00:00,17:00:00
195,00:00:00,23:59:00
198,08:00:00,14:00:00
