id,name,latitude,longitude,address,media_url,max_slots,owner_id,owner_name,sponsor_tier
1,Diamond Valley Lake Marina,33.703804,-117.003209,"2615 Angler Ave, Hemet, CA 92545",,50,1,admin,0
2,Blue Ribbon Cleaners,38.979759,-76.547538,"Parole, Annapolis, MD",,50,1,admin,0
3,Portofino,43.22776,44.762726,"ул. Тутаева, 1, Nazran, Ingushetia, Russia, 366720",,50,1,admin,0
4,T C's Referee Sports Bar,43.529494,-96.792244,"5322 W 26th St, Sioux Falls, SD 57106",,50,1,admin,0
5,Carrefour - Palembang Square,-2.976256,104.742662,"Jl. Angkatan 45, Kompleks Palembang Square, South Sumatra 30137, Indonesia",,50,1,admin,0
6,Pizzeria Montana,48.767817,8.75612,"Stuttgarter Straße 44, 75378 Bad Liebenzell, Germany",,50,1,admin,0
7,Single Tree Inn,37.576427,-101.386182,"2033 W Oklahoma Ave, Ulysses, KS 67880",,50,1,admin,0
8,Sekolah Menengah Kebangsaan Tun Abang Haji Openg,1.572255,110.362958,"Jalan Demak, Petra Jaya, Kuching, Sarawak, Malaysia",,50,1,admin,0
9,天山湯治郷,35.224978,139.088382,"208 Yumotochaya, Hakone, Ashigarashimo District, Kanagawa 250-0312, Japan",,50,1,admin,0
10,Old Chicago,45.535176,-122.862242,"17960 NW Evergreen Pkwy, Beaverton, OR 97006",,50,1,admin,0
11,China Cottage,39.692899,-84.136173,"3718 Wilmington Pike, Dayton, OH 45429",,50,1,admin,0
12,La Quinta Inn & Suites Ormond Beach/Daytona Beach,29.337011,-81.128647,"1571 N US Highway 1, Ormond Beach, FL 32174",,50,1,admin,0
13,Dicola's Pizzeria,40.9908,-76.0117,"626 Can Do Expy # 1 , Hazle, PA 18202",,50,1,admin,0
14,お食事の店長友・財光寺店,32.414204,131.63109,"242-1 Zaikoji, Hyuga, Miyazaki 883-0021, Japan",,50,1,admin,0
15,Mastercuts,27.926719,-82.326991,"666 Brandon Town Ctr, Brandon Town Center, Brandon, FL 33511",,50,1,admin,0
16,Polo Club Cranbrook,29.979443,-95.439439,"14531 Ella Blvd, Houston, TX 77014",,50,1,admin,0
17,だるま料理店,35.251385,139.159618,"Japan, 〒250-0012 Kanagawa, Odawara, Honcho, ２丁目1−30",,50,1,admin,0
18,Orritel Hotel,18.596771,73.742188,"Survey No. 274/275/2, Bhosale Farm, Wakad-Hinjewadi Road, Hinjewadi, Dange Chowk Rd, Bhatewara Nagar",,50,1,admin,0
19,까사로까 여의도점,37.524039,126.926004,"25 Yeoeuido-dong, Yeongdeungpo-gu, Seoul, South Korea",,50,1,admin,0
20,Fly Now,13.979946,99.587241,"Tha Muang District, Kanchanaburi, Thailand",,50,1,admin,0
21,Seminole Metal Finishing Inc.,28.681282,-81.35249,"967 Explorer Cove, Altamonte Springs, FL 32701",,50,1,admin,0
22,Byron Center High School,42.810092,-85.702919,"8500 Burlingame Ave SW, Byron Center, MI 49315",,50,1,admin,0
23,Garras Auto Vidros,-28.471037,-48.990852,"R. Prof Eugênia R Perito, 54, Tubarão - SC, 88705-370, Brazil",,50,1,admin,0
24,Smokey Mountain Wings,35.98598,-83.610598,"3607 Outdoor Sportsman Pl, Kodak, TN 37764",,50,1,admin,0
25,San Antonio Moving Company,29.517006,-98.436528,"San Antonio, TX",,50,1,admin,0
